iter	RMSE
0	0.6068140787
1	0.5650464068
2	0.5313014774
3	0.5051192967
4	0.4850307408
5	0.4697398812
6	0.4569419053
7	0.4463555577
8	0.4384506187
9	0.4317139466
10	0.4261340738
11	0.4212052751
12	0.417626679
13	0.4147693482
14	0.4121788988
15	0.4099941252
16	0.4080919785
17	0.4064549648
18	0.404944157
19	0.4035844344
20	0.4027384857
21	0.4018982346
22	0.400917898
23	0.4000991482
24	0.3991764376
25	0.3984578457
26	0.3978021521
27	0.3971087076
28	0.3963018953
29	0.3957129033
30	0.3951168293
31	0.3945495621
32	0.3941052028
33	0.3936178109
34	0.39318179
35	0.3928310547
36	0.39234997
37	0.3919724512
38	0.3917303189
39	0.391342159
40	0.3910500117
41	0.3907915921
42	0.3904142204
43	0.390065381
44	0.3897399462
45	0.389475306
46	0.3891269924
47	0.3888385124
48	0.3883995078
49	0.3881648468
50	0.387812062
51	0.3874315704
52	0.3870693679
53	0.3868679769
54	0.3865072481
55	0.3862266307
56	0.3859491377
57	0.3855170599
58	0.3851483936
59	0.3848097909
60	0.3847056445
61	0.3845143932
62	0.3844002001
63	0.3839081974
64	0.3837001247
65	0.383376183
66	0.3831228348
67	0.3829460426
68	0.3828641682
69	0.382579791
70	0.3823106921
71	0.3821483569
72	0.3817988405
73	0.3815803792
74	0.3815765507
75	0.3811743095
76	0.3808401464
77	0.3804933577
78	0.3804730154
79	0.3801885372
80	0.3798313338
81	0.3797859994
82	0.3794729276
83	0.3791613545
84	0.3787669367
85	0.3785608285
86	0.3782564077
87	0.3779945072
88	0.377743601
89	0.377513825
90	0.3774834335
91	0.3772733814
92	0.3769436142
93	0.3767439554
94	0.3766795452
95	0.3764159184
96	0.3763046669
97	0.3760823472
98	0.3756515068
99	0.3753408479
100	0.3751643114
101	0.3751122534
102	0.3748191854
103	0.3744649114
104	0.3743028183
105	0.3739214253
106	0.3737192699
107	0.3733786311
108	0.373281417
109	0.372953594
110	0.3727205857
111	0.3724950201
112	0.3722461586
113	0.3721053503
114	0.371949331
115	0.3717535474
116	0.3715862692
117	0.3712288182
118	0.3710246194
119	0.3707650835
120	0.3705604947
121	0.3702175776
122	0.3700164581
123	0.3697537304
124	0.3695611649
125	0.3693412268
126	0.3691169237
127	0.3687819617
128	0.3686693846
129	0.3684145125
130	0.3682162148
131	0.3680063675
132	0.3677080706
133	0.3674527657
134	0.3672730181
135	0.3669040259
136	0.3666461851
137	0.3664098725
138	0.3662111964
139	0.3658940104
140	0.3658344102
141	0.3656891216
142	0.3655603882
143	0.3653512375
144	0.3650290835
145	0.3648000013
146	0.3645551012
147	0.3643952443
148	0.3641401489
149	0.3639063477
150	0.3636695398
151	0.3634930833
152	0.3632410179
153	0.363069609
154	0.3630378725
155	0.362818332
156	0.3626055896
157	0.3624636433
158	0.3622689913
159	0.3621560136
160	0.3619420444
161	0.3617466546
162	0.3615980129
163	0.3613941636
164	0.3611406583
165	0.3610267028
166	0.3608162112
167	0.3607765125
168	0.3606511575
169	0.3605440378
170	0.3603152754
171	0.3600334807
172	0.3598427603
173	0.3596367066
174	0.3593541132
175	0.3592455972
176	0.3590561072
177	0.3589353268
178	0.3586013863
179	0.3584917335
180	0.3584654987
181	0.3582696794
182	0.3580306217
183	0.3578633173
184	0.3576636658
185	0.3574895301
186	0.3572760027
187	0.3570969441
188	0.3569583443
189	0.3569484389
190	0.3568104328
191	0.3565911653
192	0.356588789
193	0.3564279454
194	0.3562222083
195	0.3560239234
196	0.3558667104
197	0.3557039936
198	0.3555855123
199	0.3553388084
200	0.3552039106
201	0.3549925551
202	0.3548600341
203	0.3547008575
204	0.3545300664
205	0.3542466066
206	0.3541628098
207	0.353904422
208	0.3539021005
209	0.3536901607
210	0.3535561341
211	0.3534004386
212	0.3533084283
213	0.3531339636
214	0.3529285221
215	0.3526957514
216	0.3525912943
217	0.3524641125
218	0.3522758511
219	0.3521394756
220	0.3519421085
221	0.3517312603
222	0.3514588606
223	0.3512883569
224	0.3512861186
225	0.3511312988
226	0.3509467195
227	0.3507810925
228	0.3505900167
229	0.3504233745
230	0.3502528102
231	0.3500405469
232	0.3498660497
233	0.3496692894
234	0.3494789455
235	0.349372563
236	0.3491478817
237	0.3490348202
238	0.348797233
239	0.3486387009
240	0.3484199495
241	0.3481915229
242	0.3480129004
243	0.3478541909
244	0.3476720203
245	0.3474831401
246	0.3472992458
247	0.3470554244
248	0.3468241152
249	0.3466036394
250	0.3464406666
251	0.3462463147
252	0.345958936
253	0.3457691308
254	0.3457124425
255	0.3455588409
256	0.3452705119
257	0.3451283262
258	0.3449909848
259	0.3447469099
260	0.3445846268
261	0.3444283775
262	0.3443359797
263	0.3441375007
264	0.3440033649
265	0.34386146
266	0.3437441213
267	0.3436640902
268	0.3434771606
269	0.3433194418
270	0.3431177032
271	0.3430422353
272	0.3428693274
273	0.3427371094
274	0.3425607182
275	0.3424443892
276	0.3423168856
277	0.3421332536
278	0.3420106613
279	0.3419019038
