iter	Passed	Remaining
0	22	6248
1	39	5487
2	55	5117
3	73	5073
4	89	4908
5	105	4823
6	120	4687
7	136	4654
8	153	4627
9	169	4570
10	183	4491
11	197	4401
12	212	4360
13	227	4316
14	241	4267
15	255	4213
16	269	4175
17	284	4145
18	298	4098
19	312	4058
20	325	4008
21	338	3966
22	352	3935
23	369	3936
24	384	3924
25	398	3893
26	412	3865
27	426	3838
28	441	3822
29	456	3800
30	469	3771
31	485	3758
32	498	3733
33	511	3701
34	526	3685
35	540	3661
36	554	3640
37	569	3627
38	584	3609
39	597	3586
40	610	3560
41	623	3534
42	637	3514
43	651	3493
44	665	3474
45	678	3452
46	691	3429
47	704	3406
48	719	3391
49	732	3370
50	746	3352
51	760	3333
52	774	3316
53	787	3295
54	801	3277
55	816	3264
56	829	3246
57	842	3226
58	856	3208
59	872	3199
60	885	3179
61	898	3159
62	913	3146
63	926	3127
64	939	3108
65	953	3090
66	967	3075
67	981	3061
68	996	3046
69	1010	3030
70	1023	3014
71	1036	2994
72	1051	2981
73	1067	2971
74	1081	2955
75	1095	2939
76	1109	2923
77	1123	2908
78	1135	2889
79	1155	2889
80	1169	2873
81	1181	2853
82	1194	2835
83	1208	2820
84	1222	2804
85	1235	2787
86	1250	2775
87	1264	2758
88	1277	2742
89	1293	2729
90	1306	2714
91	1321	2699
92	1335	2685
93	1350	2672
94	1364	2656
95	1377	2640
96	1389	2620
97	1401	2603
98	1416	2589
99	1429	2572
100	1441	2554
101	1453	2537
102	1466	2520
103	1479	2504
104	1493	2488
105	1505	2471
106	1518	2455
107	1534	2443
108	1548	2429
109	1562	2414
110	1575	2398
111	1589	2383
112	1603	2370
113	1618	2356
114	1634	2344
115	1648	2330
116	1664	2319
117	1680	2306
118	1693	2291
119	1706	2275
120	1721	2261
121	1735	2247
122	1749	2233
123	1767	2223
124	1781	2209
125	1796	2195
126	1810	2180
127	1825	2167
128	1838	2151
129	1850	2135
130	1864	2120
131	1878	2106
132	1893	2092
133	1907	2078
134	1920	2062
135	1934	2048
136	1950	2035
137	1964	2021
138	1979	2008
139	1994	1994
140	2010	1982
141	2024	1967
142	2041	1955
143	2057	1943
144	2076	1933
145	2091	1919
146	2108	1907
147	2122	1892
148	2135	1877
149	2151	1864
150	2166	1851
151	2182	1838
152	2197	1824
153	2214	1811
154	2228	1797
155	2243	1783
156	2259	1770
157	2273	1755
158	2288	1741
159	2302	1727
160	2317	1713
161	2333	1699
162	2348	1685
163	2362	1671
164	2377	1656
165	2391	1642
166	2405	1627
167	2419	1613
168	2433	1598
169	2448	1584
170	2463	1570
171	2476	1555
172	2491	1540
173	2505	1526
174	2518	1510
175	2532	1496
176	2546	1481
177	2562	1468
178	2575	1453
179	2589	1438
180	2604	1424
181	2620	1410
182	2636	1397
183	2651	1383
184	2666	1369
185	2682	1355
186	2696	1341
187	2711	1326
188	2725	1312
189	2741	1298
190	2754	1283
191	2769	1269
192	2782	1254
193	2797	1240
194	2810	1225
195	2823	1210
196	2836	1194
197	2850	1180
198	2867	1166
199	2881	1152
200	2895	1138
201	2910	1123
202	2926	1109
203	2941	1096
204	2958	1082
205	2974	1068
206	2991	1054
207	3008	1041
208	3025	1027
209	3042	1014
210	3059	1000
211	3075	986
212	3092	972
213	3109	958
214	3125	944
215	3142	931
216	3159	917
217	3174	902
218	3191	888
219	3206	874
220	3221	860
221	3236	845
222	3250	830
223	3264	816
224	3278	801
225	3292	786
226	3307	772
227	3321	757
228	3335	742
229	3350	728
230	3365	713
231	3380	699
232	3395	685
233	3411	670
234	3426	656
235	3441	641
236	3456	627
237	3469	612
238	3482	597
239	3497	582
240	3511	568
241	3526	553
242	3540	539
243	3553	524
244	3567	509
245	3580	494
246	3592	479
247	3607	465
248	3621	450
249	3636	436
250	3648	421
251	3662	406
252	3677	392
253	3692	377
254	3707	363
255	3721	348
256	3737	334
257	3751	319
258	3767	305
259	3784	291
260	3800	276
261	3815	262
262	3830	247
263	3847	233
264	3863	218
265	3879	204
266	3894	189
267	3910	175
268	3927	160
269	3943	146
270	3958	131
271	3974	116
272	3989	102
273	4006	87
274	4022	73
275	4037	58
276	4051	43
277	4066	29
278	4081	14
279	4096	0
